no,Main,Sub,"type ",basic,moderate,strict,custom,level
2.3.5,Package Management,Command Line Warning Banners,ENUM,['644 root:root'],['640 root:root'],['640 root:root'],['644 root:root'],basic
3.1.1,Services,Server Services,ENUM,['Disabled'],['Not Installed'],['Not Installed'],['Disabled'],basic
3.1.10,Services,Server Services,ENUM,['Not Installed'],['Not Installed'],['Not Installed'],['Not Installed'],basic
3.1.11,Services,Server Services,ENUM,"['disabled', 'Not Installed']","['disabled', 'Not Installed']",['Not Installed'],"['disabled', 'Not Installed']",basic
3.1.12,Services,Server Services,ENUM,['Disabled'],['Not Installed'],['Not Installed'],['Disabled'],basic
3.1.13,Services,Server Services,ENUM,['disabled'],['masked'],['Not Installed'],['disabled'],basic
3.1.14,Services,Server Services,ENUM,['Disabled'],['Not Installed'],['Not Installed'],['Disabled'],basic
3.1.15,Services,Server Services,ENUM,['disabled'],"['disabled', 'not installed']",['not installed'],['disabled'],basic
3.1.16,Services,Server Services,ENUM,['Not Installed'],['Not Installed'],['Not Installed'],['Not Installed'],basic
3.1.17,Services,Server Services,ENUM,['Not Installed'],['Not Installed'],['Not Installed'],['Not Installed'],basic
3.1.18,Services,Server Services,ENUM,['Not Installed'],['Not Installed'],['Not Installed'],['Not Installed'],basic
3.1.19,Services,Server Services,ENUM,['Not Installed'],['Not Installed'],['Not Installed'],['Not Installed'],basic
3.1.2,Services,Server Services,ENUM,['disabled'],['not installed'],['not installed'],['disabled'],basic
3.1.20,Services,Server Services,ENUM,['Not Installed'],['Not Installed'],['Not Installed'],['Not Installed'],basic
3.1.21,Services,Server Services,ENUM,['local-only'],['local-only'],"['local-only', 'not-listening']",['local-only'],basic
3.1.22,Services,Server Services,ENUM,"['sshd:22', 'systemd-resolve:53']",['sshd:22'],[],"['sshd:22', 'systemd-resolve:53']",basic
3.1.3,Services,Server Services,ENUM,['Not Installed'],['Not Installed'],['Not Installed'],['Not Installed'],basic
3.1.4,Services,Server Services,ENUM,['Not Installed'],['Not Installed'],['Not Installed'],['Not Installed'],basic
3.1.5,Services,Server Services,ENUM,['disabled'],['disabled'],['not-installed'],['disabled'],basic
3.1.6,Services,Server Services,ENUM,['Not Installed'],['Not Installed'],['Not Installed'],['Not Installed'],basic
3.1.7,Services,Server Services,ENUM,['Not Installed'],['Not Installed'],['Not Installed'],['Not Installed'],basic
3.1.8,Services,Server Services,ENUM,['Disabled'],['Not Installed'],['Not Installed'],['Disabled'],basic
3.1.9,Services,Server Services,ENUM,"['Not Installed', 'Disabled']",['Not Installed'],['Not Installed'],"['Not Installed', 'Disabled']",basic
3.2.1,Services,Client Services,ENUM,['Not Installed'],['Not Installed'],['Not Installed'],['Not Installed'],basic
3.2.2,Services,Client Services,ENUM,['Not Installed'],['Not Installed'],['Not Installed'],['Not Installed'],basic
3.2.3,Services,Client Services,ENUM,['Not Installed'],['Not Installed'],['Not Installed'],['Not Installed'],basic
3.2.4,Services,Client Services,ENUM,['not installed'],['not installed'],['not installed'],['not installed'],basic
3.2.5,Services,Client Services,ENUM,['Not Installed'],['Not Installed'],['Not Installed'],['Not Installed'],basic
3.2.6,Services,Client Services,ENUM,['Not Installed'],['Not Installed'],['Not Installed'],['Not Installed'],basic
3.2.7,Services,Client Services,ENUM,['active'],['active'],['active'],['active'],basic
3.3.1,Services,"Ensure time synchronization is in use  ",ENUM,['systemd-timesyncd'],['chrony'],['chrony'],['systemd-timesyncd'],basic
3.4.1,Services,"Configure systemd-timesyncd ",ENUM,['ntp.ubuntu.com'],['0.ubuntu.pool.ntp.org 1.ubuntu.pool.ntp.org 2.ubuntu.pool.ntp.org'],['time1.internal.corp time2.internal.corp'],['ntp.ubuntu.com'],basic
3.4.2,Services,"Configure systemd-timesyncd ",ENUM,['Enabled and Active'],['Enabled and Active'],['Enabled and Active'],['Enabled and Active'],basic
3.5.1,Services,chrony,ENUM,['enabled'],['enabled'],['enabled'],['enabled'],basic
3.5.2,Services,chrony,ENUM,['_chrony'],['_chrony'],['_chrony'],['_chrony'],basic
3.5.3,Services,chrony,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
3.6.1,Services,Job Schedulers,ENUM,['enabled-active'],['enabled-active'],['enabled-active'],['enabled-active'],basic
3.6.2,Services,Job Schedulers,ENUM,['600'],['600'],['600'],['600'],basic
3.6.3,Services,Job Schedulers,ENUM,['700'],['700'],['700'],['700'],basic
3.6.4,Services,Job Schedulers,ENUM,['700 root root'],['700 root root'],['700 root root'],['700 root root'],basic
3.6.5,Services,Job Schedulers,ENUM,['700:root:root'],['700:root:root'],['700:root:root'],['700:root:root'],basic
3.6.6,Services,Job Schedulers,ENUM,['700:root:root'],['700:root:root'],['700:root:root'],['700:root:root'],basic
3.6.7,Services,Job Schedulers,ENUM,['700'],['700'],['700'],['700'],basic
3.6.8,Services,Job Schedulers,ENUM,['Configured'],['Configured'],['Configured'],['Configured'],basic
4.1.1,Network,Configure Network Devices,ENUM,['1'],['1'],['1'],['1'],basic
4.1.2,Network,Configure Network Devices,ENUM,['disabled'],['disabled'],['disabled'],['disabled'],basic
4.1.3,Network,Configure Network Devices,ENUM,"[""disabled""]","[""masked""]","[""masked""]","[""disabled""]",basic
4.2.1,Network,Network Kernel Modules,ENUM,['disabled'],['disabled'],['disabled'],['disabled'],basic
4.2.2,Network,Network Kernel Modules,ENUM,['Disabled'],['Disabled'],['Disabled'],['Disabled'],basic
4.2.3,Network,Network Kernel Modules,ENUM,['Not Available'],['Not Available'],['Not Available'],['Not Available'],basic
4.2.4,Network,Network Kernel Modules,ENUM,['disabled'],['disabled'],['disabled'],['disabled'],basic
4.3.1,Network,Network Kernel Parameters,ENUM,['0'],['0'],['0'],['0'],basic
4.3.10,Network,Network Kernel Parameters,ENUM,['1'],['1'],['1'],['1'],basic
4.3.11,Network,Network Kernel Parameters,ENUM,['0'],['0'],['0'],['0'],basic
4.3.2,Network,Network Kernel Parameters,ENUM,['0'],['0'],['0'],['0'],basic
4.3.3,Network,Network Kernel Parameters,ENUM,['1'],['1'],['1'],['1'],basic
4.3.4,Network,Network Kernel Parameters,ENUM,['1'],['1'],['1'],['1'],basic
4.3.5,Network,Network Kernel Parameters,ENUM,['0'],['0'],['0'],['0'],basic
4.3.6,Network,Network Kernel Parameters,ENUM,['0'],['0'],['0'],['0'],basic
4.3.7,Network,Network Kernel Parameters,ENUM,['1'],['1'],['1'],['1'],basic
4.3.8,Network,Network Kernel Parameters,ENUM,['0'],['0'],['0'],['0'],basic
4.3.9,Network,Network Kernel Parameters,ENUM,['1'],['1'],['1'],['1'],basic
5.1.1,Host Based Firewall,Configure a single firewall,ENUM,['Installed'],['Installed'],['Installed'],['Installed'],basic
5.1.2,Host Based Firewall,Configure a single firewall,ENUM,"['UFW Only', 'Iptables Only']",['UFW Only'],['UFW Only'],"['UFW Only', 'Iptables Only']",basic
5.1.3,Host Based Firewall,Configure a single firewall,ENUM,['enabled'],['enabled'],['enabled'],['enabled'],basic
5.1.4,Host Based Firewall,Configure a single firewall,ENUM,['allow'],['allow'],['allow'],['allow'],basic
5.1.5,Host Based Firewall,Configure a single firewall,ENUM,['allow'],['deny'],['deny'],['allow'],basic
5.1.6,Host Based Firewall,Configure a single firewall,ENUM,['enabled'],['enabled'],['enabled'],['enabled'],basic
5.1.7,Host Based Firewall,Configure a single firewall,ENUM,"['deny (incoming), allow (outgoing)']","['deny (incoming), deny (outgoing)']","['deny (incoming), deny (outgoing)']","['deny (incoming), allow (outgoing)']",basic
5.1.8,Host Based Firewall,Configure a single firewall,ENUM,['Not Installed'],['Not Installed'],['Not Installed'],['Not Installed'],basic
6.1.1,Access Control,Configure SSH Server,ENUM,['640 root root'],['600 root root'],['600 root root'],['640 root root'],basic
6.1.10,Access Control,Configure SSH Server,ENUM,['no'],['no'],['no'],['no'],basic
6.1.11,Access Control,Configure SSH Server,ENUM,['yes'],['yes'],['yes'],['yes'],basic
6.1.12,Access Control,Configure SSH Server,ENUM,"['curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group-exchange-sha256']","['curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp384,ecdh-sha2-nistp521']","['curve25519-sha256,ecdh-sha2-nistp521']","['curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group-exchange-sha256']",basic
6.1.13,Access Control,Configure SSH Server,RANGE,"[60, 15]","[30, 15]","[15, 15]","[60, 15]",basic
6.1.14,Access Control,Configure SSH Server,ENUM,['INFO'],['VERBOSE'],['VERBOSE'],['INFO'],basic
6.1.15,Access Control,Configure SSH Server,ENUM,"['hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-512,hmac-sha2-256']","['hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com,umac-128-etm@openssh.com']","['hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com']","['hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-512,hmac-sha2-256']",basic
6.1.16,Access Control,Configure SSH Server,RANGE,"[6, 3]","[4, 3]","[3, 3]","[6, 3]",basic
6.1.17,Access Control,Configure SSH Server,RANGE,"[10, 2]","[4, 2]","[2, 2]","[10, 2]",basic
6.1.18,Access Control,Configure SSH Server,ENUM,['10:30:100'],['10:30:80'],['5:30:60'],['10:30:100'],basic
6.1.19,Access Control,Configure SSH Server,ENUM,['no'],['no'],['no'],['no'],basic
6.1.2,Access Control,Configure SSH Server,ENUM,['Compliant'],['Compliant'],['Compliant'],['Compliant'],basic
6.1.20,Access Control,Configure SSH Server,ENUM,['no'],['no'],['no'],['no'],basic
6.1.21,Access Control,Configure SSH Server,ENUM,['no'],['no'],['no'],['no'],basic
6.1.22,Access Control,Configure SSH Server,ENUM,['yes'],['yes'],['yes'],['yes'],basic
6.1.3,Access Control,Configure SSH Server,ENUM,['644'],['644'],['644'],['644'],basic
6.1.4,Access Control,Configure SSH Server,ENUM,['Configured'],['Configured'],['Configured'],['Configured'],basic
6.1.5,Access Control,Configure SSH Server,ENUM,['/etc/issue.net'],['/etc/issue.net'],['/etc/issue.net'],['/etc/issue.net'],basic
6.1.6,Access Control,Configure SSH Server,ENUM,"['chacha20-poly1305@openssh.com,aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr']","['chacha20-poly1305@openssh.com,aes256-gcm@openssh.com,aes128-gcm@openssh.com']","['chacha20-poly1305@openssh.com,aes256-gcm@openssh.com']","['chacha20-poly1305@openssh.com,aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr']",basic
6.1.7,Access Control,Configure SSH Server,ENUM,['300:0'],['180:0'],['60:0'],['300:0'],basic
6.1.8,Access Control,Configure SSH Server,ENUM,['yes'],['yes'],['yes'],['yes'],basic
6.1.9,Access Control,Configure SSH Server,ENUM,['no'],['no'],['no'],['no'],basic
6.2.1,Access Control,Configure privilege escalation,ENUM,['Installed'],['Installed'],['Installed'],['Installed'],basic
6.2.2,Access Control,Configure privilege escalation,ENUM,['enabled'],['enabled'],['enabled'],['enabled'],basic
6.2.3,Access Control,Configure privilege escalation,ENUM,['/var/log/sudo.log'],['/var/log/sudo.log'],['/var/log/sudo.log'],['/var/log/sudo.log'],basic
6.2.4,Access Control,Configure privilege escalation,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
6.2.5,Access Control,Configure privilege escalation,RANGE,"[15, 0]","[5, 0]","[0, 0]","[15, 0]",basic
6.2.6,Access Control,Configure privilege escalation,RANGE,"[5, 0]","[1, 0]","[0, 0]","[5, 0]",basic
6.2.7,Access Control,Configure privilege escalation,ENUM,['restricted'],['restricted'],['restricted'],['restricted'],basic
6.3.1,Access Control,Pluggable Authentication Modules (PAM) — Configure PAM software packages,ENUM,['up-to-date'],['up-to-date'],['up-to-date'],['up-to-date'],basic
6.3.10,Access Control,Pluggable Authentication Modules (PAM) — Configure pam_faillock module,ENUM,['true'],['true'],['true'],['true'],basic
6.3.11,Access Control,Pluggable Authentication Modules (PAM) — Configure pam_pwquality module,RANGE,"[4, 'upper bound']","[7, 'upper bound']","[8, 'upper bound']","[4, 'upper bound']",basic
6.3.12,Access Control,Pluggable Authentication Modules (PAM) — Configure pam_pwquality module,RANGE,"[14, 'upper bound']","[16, 'upper bound']","[18, 'upper bound']","[14, 'upper bound']",basic
6.3.13,Access Control,Pluggable Authentication Modules (PAM) — Configure pam_pwquality module,RANGE,"[3, 1]","[2, 1]","[1, 1]","[3, 1]",basic
6.3.14,Access Control,Pluggable Authentication Modules (PAM) — Configure pam_pwquality module,RANGE,"[3, 1]","[2, 1]","[1, 1]","[3, 1]",basic
6.3.15,Access Control,Pluggable Authentication Modules (PAM) — Configure pam_pwquality module,ENUM,['1'],['1'],['1'],['1'],basic
6.3.16,Access Control,Pluggable Authentication Modules (PAM) — Configure pam_pwquality module,ENUM,['enabled'],['enabled'],['enabled'],['enabled'],basic
6.3.17,Access Control,Pluggable Authentication Modules (PAM) — Configure pam_pwquality module,ENUM,['enforced'],['enforced'],['enforced'],['enforced'],basic
6.3.18,Access Control,Pluggable Authentication Modules (PAM) — Configure pam_pwhistory module,RANGE,"[5, 24]","[10, 24]","[24, 24]","[5, 24]",basic
6.3.19,Access Control,Pluggable Authentication Modules (PAM) — Configure pam_pwhistory module,RANGE,"[5, 24]","[12, 24]","[24, 24]","[5, 24]",basic
6.3.2,Access Control,Pluggable Authentication Modules (PAM) — Configure PAM software packages,ENUM,['Installed'],['Installed'],['Installed'],['Installed'],basic
6.3.20,Access Control,Pluggable Authentication Modules (PAM) — Configure pam_pwhistory module,ENUM,['Present'],['Present'],['Present'],['Present'],basic
6.3.3,Access Control,Pluggable Authentication Modules (PAM) — Configure PAM software packages,ENUM,['Installed'],['Installed'],['Installed'],['Installed'],basic
6.3.4,Access Control,Pluggable Authentication Modules (PAM) — Configure pam-auth-update profiles,ENUM,['enabled'],['enabled'],['enabled'],['enabled'],basic
6.3.5,Access Control,Pluggable Authentication Modules (PAM) — Configure pam-auth-update profiles,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
6.3.6,Access Control,Pluggable Authentication Modules (PAM) — Configure pam-auth-update profiles,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
6.3.7,Access Control,Pluggable Authentication Modules (PAM) — Configure pam-auth-update profiles,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
6.3.8,Access Control,Pluggable Authentication Modules (PAM) — Configure pam_faillock module,RANGE,"[5, 0]","[4, 0]","[3, 0]","[5, 0]",basic
6.3.9,Access Control,Pluggable Authentication Modules (PAM) — Configure pam_faillock module,RANGE,"[900, 3600]","[1800, 3600]","[3600, 3600]","[900, 3600]",basic
7.1.1,User Accounts and Environment,Configure shadow password suite parameters,RANGE,"[90, 30]","[60, 30]","[1, 30]","[90, 30]",basic
7.1.10,User Accounts and Environment,Configure root and system accounts and environment,ENUM,['Locked'],['Locked'],['Locked'],['Locked'],basic
7.1.11,User Accounts and Environment,Configure root and system accounts and environment,ENUM,['Secure'],['Secure'],['Secure'],['Secure'],basic
7.1.12,User Accounts and Environment,Configure root and system accounts and environment,ENUM,['022'],['027'],['077'],['022'],basic
7.1.13,User Accounts and Environment,Configure root and system accounts and environment,ENUM,['/bin/false'],['/usr/sbin/nologin'],['/usr/sbin/nologin'],['/bin/false'],basic
7.1.14,User Accounts and Environment,Configure root and system accounts and environment,ENUM,['Enforced'],['Enforced'],['Enforced'],['Enforced'],basic
7.1.2,User Accounts and Environment,Configure shadow password suite parameters,RANGE,"[1, 7]","[7, 7]","[7, 7]","[1, 7]",basic
7.1.3,User Accounts and Environment,Configure shadow password suite parameters,RANGE,"[7, 30]","[14, 30]","[30, 30]","[7, 30]",basic
7.1.4,User Accounts and Environment,Configure shadow password suite parameters,ENUM,['sha512'],['yescrypt'],['yescrypt'],['sha512'],basic
7.1.5,User Accounts and Environment,Configure shadow password suite parameters,RANGE,"[30, 7]","[15, 7]","[7, 7]","[30, 7]",basic
7.1.6,User Accounts and Environment,Configure shadow password suite parameters,ENUM,['true'],['true'],['true'],['true'],basic
7.1.7,User Accounts and Environment,Configure root and system accounts and environment,RANGE,"[0, 0]","[0, 0]","[0, 0]","[0, 0]",basic
7.1.8,User Accounts and Environment,Configure root and system accounts and environment,ENUM,['root'],['root'],['root'],['root'],basic
7.1.9,User Accounts and Environment,Configure root and system accounts and environment,ENUM,['root'],['root'],['root'],['root'],basic
7.2.1,User Accounts and Environment,Configure user default environment,ENUM,['Not Listed'],['Not Listed'],['Not Listed'],['Not Listed'],basic
7.2.2,User Accounts and Environment,Configure user default environment,RANGE,"[900, 300]","[600, 300]","[300, 300]","[900, 300]",basic
7.2.3,User Accounts and Environment,Configure user default environment,ENUM,['027'],['027'],['077'],['027'],basic
8.1.1,Logging and Auditing,"System Logging - Configure systemd-journald service ",ENUM,['Enabled and Active'],['Enabled and Active'],['Enabled and Active'],['Enabled and Active'],basic
8.1.10,Logging and Auditing,"System Logging -Configure rsyslog ",ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
8.1.11,Logging and Auditing,"System Logging -Configure rsyslog ",ENUM,['disabled'],['disabled'],['disabled'],['disabled'],basic
8.1.12,Logging and Auditing,"System Logging -Configure rsyslog ",ENUM,['Installed'],['Installed'],['Installed'],['Installed'],basic
8.1.13,Logging and Auditing,System Logging- Configure Logfiles,ENUM,['640'],['640'],['600'],['640'],basic
8.1.2,Logging and Auditing,"System Logging - Configure systemd-journald service ",ENUM,['2755'],['2750'],['2750'],['2755'],basic
8.1.3,Logging and Auditing,"System Logging - Configure systemd-journald service ",RANGE,"[500, 'upper bound']","[1024, 'upper bound']","[4096, 'upper bound']","[500, 'upper bound']",basic
8.1.4,Logging and Auditing,"System Logging - Configure systemd-journald service ",ENUM,['disabled'],['disabled'],['disabled'],['disabled'],basic
8.1.5,Logging and Auditing,"System Logging -Configure rsyslog ",ENUM,['Installed'],['Installed'],['Installed'],['Installed'],basic
8.1.6,Logging and Auditing,"System Logging -Configure rsyslog ",ENUM,['Enabled and Active'],['Enabled and Active'],['Enabled and Active'],['Enabled and Active'],basic
8.1.7,Logging and Auditing,"System Logging -Configure rsyslog ",ENUM,['yes'],['yes'],['yes'],['yes'],basic
8.1.8,Logging and Auditing,"System Logging -Configure rsyslog ",ENUM,['0640'],['0640'],['0600'],['0640'],basic
8.1.9,Logging and Auditing,"System Logging -Configure rsyslog ",ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
8.2.1,Logging and Auditing,System Logging- Configure Logfiles,ENUM,['Installed'],['Installed'],['Installed'],['Installed'],basic
8.2.2,Logging and Auditing,System Logging- Configure Logfiles,ENUM,['enabled-active'],['enabled-active'],['enabled-active'],['enabled-active'],basic
8.2.3,Logging and Auditing,System Logging- Configure Logfiles,ENUM,['enabled'],['enabled'],['enabled'],['enabled'],basic
8.2.4,Logging and Auditing,System Logging- Configure Logfiles,RANGE,"[8192, 'upper bound']","[16384, 'upper bound']","[32768, 'upper bound']","[8192, 'upper bound']",basic
8.3.1,Logging and Auditing,Configure Data Retention,RANGE,"[100, 'upper bound']","[500, 'upper bound']","[1024, 'upper bound']","[100, 'upper bound']",basic
8.3.2,Logging and Auditing,Configure Data Retention,ENUM,['keep_logs'],['keep_logs'],['keep_logs'],['keep_logs'],basic
8.3.3,Logging and Auditing,Configure Data Retention,ENUM,['SYSLOG'],['SINGLE'],['HALT'],['SYSLOG'],basic
8.3.4,Logging and Auditing,Configure Data Retention,ENUM,['SYSLOG'],['EMAIL'],['HALT'],['SYSLOG'],basic
8.4.1,Logging and Auditing,Configure auditd Rules,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
8.4.10,Logging and Auditing,Configure auditd Rules,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
8.4.11,Logging and Auditing,Configure auditd Rules,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
8.4.12,Logging and Auditing,Configure auditd Rules,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
8.4.13,Logging and Auditing,Configure auditd Rules,ENUM,['present'],['present'],['present'],['present'],basic
8.4.14,Logging and Auditing,Configure auditd Rules,ENUM,['Present'],['Present'],['Present'],['Present'],basic
8.4.15,Logging and Auditing,Configure auditd Rules,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
8.4.16,Logging and Auditing,Configure auditd Rules,ENUM,['Enabled'],['Enabled'],['Enabled'],['Enabled'],basic
8.4.17,Logging and Auditing,Configure auditd Rules,ENUM,['present'],['present'],['present'],['present'],basic
8.4.18,Logging and Auditing,Configure auditd Rules,ENUM,['present'],['present'],['present'],['present'],basic
8.4.19,Logging and Auditing,Configure auditd Rules,ENUM,['Present'],['Present'],['Present'],['Present'],basic
8.4.2,Logging and Auditing,Configure auditd Rules,ENUM,['Configured'],['Configured'],['Configured'],['Configured'],basic
8.4.20,Logging and Auditing,Configure auditd Rules,ENUM,['2'],['2'],['2'],['2'],basic
8.4.21,Logging and Auditing,Configure auditd Rules,ENUM,['same'],['same'],['same'],['same'],basic
